"","n","variable","value"
"1",15,"ecmsmv",0.00710333911133526
"2",30,"ecmsmv",0.00192935546650318
"3",60,"ecmsmv",0.000553486101297856
"4",120,"ecmsmv",0.000131850237161083
"5",240,"ecmsmv",3.09525440660161e-05
"6",15,"ecmsmo",0.0210833387662231
"7",30,"ecmsmo",0.0112049900908551
"8",60,"ecmsmo",0.00537931484700034
"9",120,"ecmsmo",0.0025028632433633
"10",240,"ecmsmo",0.00134175082228638
"11",15,"ecmsmed",0.0591576772874266
"12",30,"ecmsmed",0.0298549088893383
"13",60,"ecmsmed",0.0154984183977061
"14",120,"ecmsmed",0.00827872209622663
"15",240,"ecmsmed",0.00388036776277222
